# time (s)	h_+ (strain)	h_x (strain)
-1.985717773	-1.260187492874279129e-21	2.785533158749066829e-21
-1.985656738	-1.486678607167871425e-21	3.103276014435467407e-21
-1.985595703	-1.350127078496758433e-21	2.743872190781568037e-21
-1.985534668	-1.574924440040466352e-21	3.058327745014897921e-21
-1.985473633	-1.438717781118393897e-21	2.699495323632920680e-21
-1.985412598	-1.661791995402759393e-21	3.010706230131673454e-21
-1.985351562	-1.525877906941925498e-21	2.652444998422597787e-21
-1.985290527	-1.747200037324160448e-21	2.960454783510192357e-21
-1.985229492	-1.611527087840406799e-21	2.602766124555506037e-21
-1.985168457	-1.831068697439834703e-21	2.907619174710330681e-21
-1.985107422	-1.695586355965025665e-21	2.550506038076344703e-21
-1.985046387	-1.913319548924442504e-21	2.852247586387101030e-21
-1.984985352	-1.777978217390092416e-21	2.495714457800838078e-21
-1.984924316	-1.993875679034744774e-21	2.794390568963650579e-21
-1.984863281	-1.858626724053673262e-21	2.438443439437651205e-21
-1.984802246	-2.072661760521430249e-21	2.734100993385242937e-21
-1.984741211	-1.937457544445219738e-21	2.378747327268164755e-21
-1.984680176	-2.149604121389593216e-21	2.671434001630144006e-21
-1.984619141	-2.014398032787640024e-21	2.316682703736542182e-21
-1.984558105	-2.224630813020804579e-21	2.606446955025301294e-21
-1.984497070	-2.089377296477231203e-21	2.252308337155634038e-21
-1.984436035	-2.297671676914578548e-21	2.539199380729777740e-21
-1.984375000	-2.162326262141177514e-21	2.185685127219702479e-21
-1.984313965	-2.368658409732222362e-21	2.469752915942472107e-21
-1.984252930	-2.233177739708314934e-21	2.116876048428446159e-21
-1.984191895	-2.437524626403909158e-21	2.398171250469196836e-21
-1.984130859	-2.301866485055864670e-21	2.045946091835199752e-21
-1.984069824	-2.504205921675055469e-21	2.324520067053281783e-21
-1.984008789	-2.368329260529157582e-21	1.972962204789840172e-21
-1.983947754	-2.568639929799430494e-21	2.248866980111122781e-21
-1.983886719	-2.432504893743138699e-21	1.897993228779050044e-21
-1.983825684	-2.630766382205798870e-21	2.171281472630356922e-21
-1.983764648	-2.494334334476259198e-21	1.821109835634230668e-21
-1.983703613	-2.690527163308051244e-21	2.091834831318563703e-21
-1.983642578	-2.553760709630513525e-21	1.742384461992790619e-21
-1.983581543	-2.747866364307447553e-21	2.010600079930751145e-21
-1.983520508	-2.610729375897892576e-21	1.661891242114058232e-21
-1.983459473	-2.802730334950937046e-21	1.927651911325051063e-21
-1.983398438	-2.665187970687673981e-21	1.579705939087579730e-21
-1.983337402	-2.855067733139105318e-21	1.843066617694337499e-21
-1.983276367	-2.717086460733183481e-21	1.495905874600355325e-21
-1.983215332	-2.904829572479837186e-21	1.756922019436284909e-21
-1.983154297	-2.766377188594643340e-21	1.410569857156840373e-21
-1.983093262	-2.951969267564230368e-21	1.669297392567671568e-21
-1.983032227	-2.813014916906807956e-21	1.323778108975382775e-21
-1.982971191	-2.996442677019032074e-21	1.580273394842997065e-21
-1.982910156	-2.856956870429965030e-21	1.235612191630100582e-21
-1.982849121	-3.038208144412870421e-21	1.489931990531153936e-21
-1.982788086	-2.898162775722805955e-21	1.146154930276906184e-21
-1.982727051	-3.077226536670427293e-21	1.398356374106682794e-21
-1.982666016	-2.936594898657231525e-21	1.055490336865618664e-21
-1.982604980	-3.113461280247215092e-21	1.305630892577634575e-21
-1.982543945	-2.972218079282576991e-21	9.637035322198520208e-22
-1.982482910	-3.146878394975451294e-21	1.211840967090553031e-21
-1.982421875	-3.004999764674799816e-21	8.708806669772463986e-22
-1.982360840	-3.177446525358048742e-21	1.117073013145330016e-21
-1.982299805	-3.034910038965207724e-21	7.771088417235607012e-22
-1.982238770	-3.205136969570060190e-21	1.021414360262229999e-21
-1.982177734	-3.061921651247090304e-21	6.824760261107243188e-22
-1.982116699	-3.229923705878953907e-21	9.249531705129785314e-22
-1.982055664	-3.086010040738649757e-21	5.870709772525026239e-22
-1.981994629	-3.251783416616474122e-21	8.277783565262584081e-22
-1.981933594	-3.107153359657030101e-21	4.909831573928470611e-22
-1.981872559	-3.270695509660076922e-21	7.299794986329139905e-22
-1.981811523	-3.125332493464419486e-21	3.943026509305497967e-22
