# time (s)	h_+ (strain)	h_x (strain)
-1.989318848	2.851637851719087655e-21	1.537864448540215845e-21
-1.989257812	3.049390730573239855e-21	1.175232573024696413e-21
-1.989196777	2.810288214122708252e-21	1.626076808824722731e-21
-1.989135742	3.005188671403523750e-21	1.265581938895902240e-21
-1.989074707	2.766217373938270143e-21	1.712981347497054296e-21
-1.989013672	2.958306205548710628e-21	1.354544423521689807e-21
-1.988952637	2.719467300929224673e-21	1.798495690337315071e-21
-1.988891602	2.908786138286071525e-21	1.442039067085827249e-21
-1.988830566	2.670082437935540105e-21	1.882538786336713759e-21
-1.988769531	2.856673738615701845e-21	1.527986250031373541e-21
-1.988708496	2.618109659857028644e-21	1.965030982277651315e-21
-1.988647461	2.802016696723249963e-21	1.612307767688988555e-21
-1.988586426	2.563598230310016196e-21	2.045894096035448945e-21
-1.988525391	2.744865079174929528e-21	1.694926903485877131e-21
-1.988464355	2.506599756163668569e-21	2.125051488493747347e-21
-1.988403320	2.685271281918619197e-21	1.775768500883872158e-21
-1.988342285	2.447168139737549602e-21	2.202428133961239056e-21
-1.988281250	2.623289981323995553e-21	1.854759033693287655e-21
-1.988220215	2.385359528984560277e-21	2.277950689389782485e-21
-1.988159180	2.558978082790592659e-21	1.931826674927711389e-21
-1.988098145	2.321232265569602264e-21	2.351547561741066846e-21
-1.988037109	2.492394667525189961e-21	2.006901364125093727e-21
-1.987976074	2.254846830768795937e-21	2.423148973866476464e-21
-1.987915039	2.423600937291466807e-21	2.079914872835489597e-21
-1.987854004	2.186265789546302235e-21	2.492687028783692135e-21
-1.987792969	2.352660157073897393e-21	2.150800868533675638e-21
-1.987731934	2.115553732571907121e-21	2.560095772067913896e-21
-1.987670898	2.279637595975531847e-21	2.219494976646876267e-21
-1.987609863	2.042777216474992868e-21	2.625311252537457674e-21
-1.987548828	2.204600466267764772e-21	2.285934840927669041e-21
-1.987487793	1.968004702002242942e-21	2.688271581198368430e-21
-1.987426758	2.127617860442094413e-21	2.350060181588905266e-21
-1.987365723	1.891306490798373168e-21	2.748916988011998215e-21
-1.987304688	2.048760686835357554e-21	2.411812851900253432e-21
-1.987243652	1.812754660101145472e-21	2.807189877018517134e-21
-1.987182617	1.968101603290801750e-21	2.471136892491113557e-21
-1.987121582	1.732422995983521767e-21	2.863034879215105967e-21
-1.987060547	1.885714949367593183e-21	2.527978583721030855e-21
-1.986999512	1.650386924949841360e-21	2.916398903445794646e-21
-1.986938477	1.801676677032139530e-21	2.582286495935167496e-21
-1.986877441	1.566723444000820868e-21	2.967231185320586890e-21
-1.986816406	1.716064279645915754e-21	2.634011537553816367e-21
-1.986755371	1.481511049285567042e-21	3.015483333715230145e-21
-1.986694336	1.628956719815078838e-21	2.683107001047325012e-21
-1.986633301	1.394829663282501101e-21	3.061109375342563909e-21
-1.986572266	1.540434355665931203e-21	2.729528606640847698e-21
-1.986511230	1.306760560628272724e-21	3.104065796927660620e-21
-1.986450195	1.450578865941615699e-21	2.773234543645831193e-21
-1.986389160	1.217386292862962291e-21	3.144311585191894734e-21
-1.986328125	1.359473173788796050e-21	2.814185509708453834e-21
-1.986267090	1.126790611739825840e-21	3.181808264402567137e-21
-1.986206055	1.267201369548438927e-21	2.852344747464107790e-21
-1.986145020	1.035058391664429426e-21	3.216519931743278135e-21
-1.986083984	1.173848632300838334e-21	2.887678079056201069e-21
-1.986022949	9.422755508546861169e-22	3.248413290143422571e-21
-1.985961914	1.079501150546085521e-21	2.920153938022590942e-21
-1.985900879	8.485289717355088820e-22	3.277457678800514162e-21
-1.985839844	9.842460419069729711e-22	2.949743398919935918e-21
-1.985778809	7.539064203098888871e-22	3.303625101297882475e-21
-1.985717773	8.881712718349392505e-22	2.976420204423695227e-21
-1.985656738	6.584964646922424114e-22	3.326890251015398630e-21
-1.985595703	7.913655718366032468e-22	3.000160789854967037e-21
-1.985534668	5.623883930263283565e-22	3.347230534347149093e-21
-1.985473633	6.939183567607695979e-22	3.020944305340113502e-21
-1.985412598	4.656721306079312249e-22	3.364626091277707083e-21
-1.985351562	5.959196414642524998e-22	3.038752635357381878e-21
-1.985290527	3.684381564467915399e-22	3.379059813319094530e-21
-1.985229492	4.974599571201566391e-22	3.053570415727052989e-21
-1.985168457	2.707774193358021364e-22	3.390517359139717869e-21
-1.985107422	3.986302668008152929e-22	3.065385048054347230e-21
-1.985046387	1.727812534793696183e-22	3.398987167398993143e-21
-1.984985352	2.995218808488731246e-22	3.074186711591061587e-21
-1.984924316	7.454129379184144802e-23	3.404460467124679345e-21
-1.984863281	2.002263718782548983e-22	3.079968372589502929e-21
-1.984802246	-2.385060922306957449e-23	3.406931285505287267e-21
-1.984741211	1.008354894953778217e-22	3.082725790880065383e-21
-1.984680176	-1.223024746118944376e-22	3.406396453020154270e-21
-1.984619141	1.441074937189294909e-24	3.082457523995920024e-21
-1.984558105	-2.207222763383971474e-22	3.402855606021664193e-21
-1.984497070	-9.786502436528820548e-23	3.079164928610418390e-21
-1.984436035	-3.190180285981365338e-22	3.396311186798369711e-21
-1.984375000	-1.969910403837308630e-22	3.072852159511528769e-21
-1.984313965	-4.170978713078302720e-22	3.386768440817163720e-21
-1.984252930	-2.958453697721753696e-22	3.063526165701368399e-21
